"Link","Type","Title","Description","By","Country","Rating","Categories","Colors"
"https://www.awwwards.com/sites/miranda-paper-portfolio","Month","Miranda – Paper Portfolio","Amsterdam-based independent Designer & Developer with focus on Art Direction, Motion Design and Creative Development.","Niccolò Miranda","Netherlands",7.92,"Design Agencies,Web & Interactive,Navigation Menu,Portfolio,Typography,Illustration,Copy design,Project Page,WebGL,GSAP Animation,Three.js,Webflow","Black,Brown"
"https://www.awwwards.com/sites/the-shift-1","Month","The Shift","The Shift was created for things and people desiring a shift - a movement, a change - in business, organization, space, product, or service.","Garden Eight","Japan",7.66,"Business & Corporate,Animation,Clean,WebGL,GSAP Animation,BARBA.js","Black,Red,White"
"https://www.awwwards.com/sites/grids","Month","Grids","The educational project about grids which Obys uses every day with unusual storytelling.","Os agency","Ukraine",7.83,"Culture & Education,Web & Interactive,Experimental,Animation,Horizontal Layout,Minimal,Scrolling,Storytelling,Interaction Design,SVG,Figma,ReadyMag","Black,White,Yellow"
"https://www.awwwards.com/sites/2021-virtual-webbys","Month","2021 Virtual Webbys","Our virtual platform allowed viewers of the 2021 Webby Awards to watch the full show or cherry-pick individual elements, in an appropriately digital ode to the best of the internet.","MediaMonks","Netherlands",7.81,"Events,Web & Interactive,Colorful,Graphic design,Video,Filters and Effects,WebGL,PHP,Vue.js","Blue,Red,Yellow"
"https://www.awwwards.com/sites/the-harmonic-state","Month","The Harmonic State","Explore three webgl levels and learn how IBM transforms business operations from dissonance to harmony through Watson’s critical insights.","Active Theory ","United States",7.98,"Games & Entertainment,Clean,Sound-Audio,Storytelling,Filters and Effects,Interaction Design,WebGL","Blue,Green,White"
"https://www.awwwards.com/sites/aristide-portfolio-2021","Month","Aristide – Portfolio 2021","Portfolio of Aristide Benoist, freelance developer. Design by Jon Way, development and motion by Aristide Benoist.","Aristide Benoist ","United States",8.01,"Promotional,Web & Interactive,Experimental,Graphic design,Portfolio,Interaction Design,WebGL,GLSL,Javascript","Black,White"
"https://www.awwwards.com/sites/prometheus-fuels","Month","Prometheus Fuels","Dive into this stylized interactive story and learn how Prometheus Fuels is creating fuel from the air.","Active Theory ","United States",8.4,"Business & Corporate,Technology,Web & Interactive,Animation,Clean,Colorful,Fullscreen,Storytelling,Filters and Effects,WebGL","Blue,Red,White"
"https://www.awwwards.com/sites/superlist","Month","Superlist","Superlist is building the productivity tool of the future; for teams and individuals alike.","GC ","United Kingdom",7.84,"Mobile & Apps,Technology,Startups,Animation,Clean,Illustration,3D,Microinteractions,Three.js","Black,Red,White"
"https://www.awwwards.com/sites/into-the-storm","Month","Into the Storm","Into the Storm is an interactive documentary that charts a real pararescue mission through sweeping CGI and an immersive soundscape. Join the rescue as if you were there.","MediaMonks","Netherlands",8.15,"Institutions,Promotional,Web & Interactive,Animation,Scrolling,Storytelling,3D,Interaction Design,Microinteractions,HTML5,WebGL,GSAP Animation,Vue.js","Blue,Silver,White"
"https://www.awwwards.com/sites/umami-land","Month","Umami Land","Discover Japanese cuisine on a virtual food trip. This WebGL experience teaches about a variety of trademark dishes so you know what’s good when it’s safe to go out again.","MediaMonks","Singapore",8.23,"Art & Illustration,Culture & Education,Food & Drink,Animation,App Style,Illustration,360,3D,Interaction Design,WebGL","Blue,Green,Yellow"
"https://www.awwwards.com/sites/sea-shepherd-no-fishing-net","Month","Sea Shepherd - No fishing net","Sea Shepherd launch no-fishing.net, a rallying cry to save marine wildlife from extinction by deadly fishing nets. If the ocean dies, we die.","makemepulse","France",7.96,"Institutions,Social responsibility,Animation,3D,WebGL","Black"
"https://www.awwwards.com/sites/medal-of-honor-above-beyond","Month","Medal of Honor: Above & Beyond","This immersive site for Respawn Entertainment’s Medal of Honor brings the 3D feeling of Oculus VR gaming to 2D surfaces. Step into the shoes of a WWII OSS agent, in 360º reality.","Oculus Electronic Arts & Jam3","Canada",7.84,"Games & Entertainment,Technology,Web & Interactive,Animation,Parallax,Video,360,Storytelling,3D,CSS3,WebGL,GSAP Animation,Three.js,React,YouTube API","Brown,Silver,Yellow"
"https://www.awwwards.com/sites/kode","Month","Kode Sports Club","KODE is a multi-disciplinary sports club opening in Q2 2022 in New Cairo. KODE has an holistic program for every aspect of an athlete’s development.","Merci-Michel","France",8.3,"Sports,Animation,Fullscreen,3D,Three.js","Blue,Green,Pink"
"https://www.awwwards.com/sites/chile20","Month","CHILE20","We worked with adidas Originals to create and showcase realistic 3D products for the new CHILE20 collection.","Active Theory","Netherlands",7.96,"Fashion,Promotional,Sports,Horizontal Layout,Minimal,Transitions,Storytelling,3D,WebGL","Black,Red,White"
"https://www.awwwards.com/sites/2degc-earth","Month","2°C EARTH","A visual guide exploring the ramifications of our increasingly warmer planet through five locations around the world whose natural and cultural heritage is threatened by climate change.","Jingqi Fan ","United States",7.92,"Culture & Education,Music & Sound,Web & Interactive,Clean,Parallax,Typography,Sound-Audio,Storytelling,Photo & Video,GSAP Animation,Nuxt.js","Black,White"
"https://www.awwwards.com/sites/ali-ali","Month","Ali Ali","Ali Ali is a commercials director from Cairo—Egypt and the founder of Good People.","Exo Ape","Netherlands",7.73,"Film & TV,Clean,Minimal,Portfolio,Typography,Video,About Page,Wordpress,CSS3,HTML5,GSAP Animation,Webpack","Black,White"
"https://www.awwwards.com/sites/pioneer-corn-revolutionized","Month","Pioneer - Corn Revolutionized","The behind the scenes process and cutting edge science of Pioneer corn told through the choreography of realtime 3D assets and animation.","Resn","Netherlands",8.18,"Business & Corporate,Web & Interactive,Scrolling,3D","Black"
"https://www.awwwards.com/sites/delassus","Month","Delassus","Delassus Group is a moroccan company specialised in the production of tomatoes, lemons, grapes, avocados and also flowers.","BONHOMME","France",7.72,"Food & Drink,Web & Interactive,Colorful,Fullscreen,Parallax,CSS3,HTML5","Green,Orange,Yellow"
"https://www.awwwards.com/sites/alan-menken","Month","Alan Menken","Legendary composer Alan Menken has created some of the most beloved songs & musical scores of our time, capturing the imagination of audiences for over 35 years.","Hello Monday ","United States",8.04,"Film & TV,Music & Sound,Animation,Portfolio,Typography,Transitions,Storytelling,Microinteractions","Black,Brown,White"
"https://www.awwwards.com/sites/powerhouse-company","Month","Powerhouse Company","We helped Powerhouse Company with a complete rebranding, from brand positioning to brand identity to platform.","Build in Amsterdam","Netherlands",7.95,"Architecture,Animation,Flat Design,Fullscreen,Gallery,UI design,Microinteractions,Wordpress,WebGL,Three.js,React","Black,Blue,White"
"https://www.awwwards.com/sites/madeleine-dalla","Month","Madeleine Dalla","Madeleine Dalla is a New York based photographer. We built a visual identity and framed her incredible work in an elegant new portfolio website.","MarvinSchwaibold ","United States",7.9,"Web & Interactive,Photography,Experimental,Animation,Portfolio,Typography,Gallery,Interaction Design,Nuxt.js","Blue,Orange,White"
"https://www.awwwards.com/sites/the-year-of-greta","Month","The Year of Greta","A passion project illustrating the timeline of Greta Thunberg's rise from solo campaigner to the leader of a global movement in 2019.","Superhero Cheesecake","Netherlands",7.77,"Culture & Education,Design Agencies,Web & Interactive,Single page,Unusual Navigation,Data Visualization,Storytelling,Gestures / Interaction,Interaction Design,GSAP Animation,Three.js,Backbone.js","Green,Silver,White"
"https://www.awwwards.com/sites/apple-airpods-pro","Month","Apple AirPods Pro","Continuous movements within a fixed-frame view, activated on scroll, and copy that strikes a powerful yet magical tone combine to mirror the fluid listening experience of AirPods Pro.","Apple ","United States",7.93,"Mobile & Apps,Technology,Web & Interactive,Animation,Graphic design,Scrolling,Single page,Interaction Design,Photo & Video,CSS3,HTML5,WebGL,GLSL","Black,Silver,White"
"https://www.awwwards.com/sites/canals","Month","CANALS","CANALS is a personal passion project, celebrating the history and creation of the iconic Amsterdam canals through an editorial style, visual design piece.","Marcus Brown","Netherlands",8.28,"Magazine / Newspaper / Blog,Culture & Education,Web & Interactive,Colorful,Fullscreen,Graphic design,Horizontal Layout,Infinite Scroll,Parallax","Black,Red,White"
"https://www.awwwards.com/sites/bruno-simon-portfolio","Month","Bruno Simon Portfolio","Creative developer // Lead developer at Immersive Garden // Teacher at HETIC // Freelancer // WebGL lover","Bruno Simon","France",8.04,"Games & Entertainment,Web & Interactive,Animation,3D,Gestures / Interaction,Three.js","Orange,Yellow"
"https://www.awwwards.com/sites/editorial-new","Month","Editorial New","Editorial New is a precise and elegant narrow serif typeface that was designed for the long-form copy with a big enough personality to make a statement as a title.","Locomotive","Canada",7.85,"Art & Illustration,Promotional,Web & Interactive,Clean,Parallax,Retro,Typography,Microinteractions,CSS3,HTML5,GSAP (Greensock),PHP,CloudFlare","Black,White"
"https://www.awwwards.com/sites/ma","Month","MA","MA: discover our 4 Worlds and get inspired.","Retail 710","Switzerland",7.9,"E-Commerce,Web & Interactive,Animation,Responsive,3D,Microinteractions,CSS3,HTML5,Three.js,React,GLSL,IIS","Blue,Red,Yellow"
"https://www.awwwards.com/sites/once-upon-a-time-in-hollywood","Month","Once Upon a Time in Hollywood","A web and print experience structured in the style of a 1969 lifestyle magazine. Fans were able to dig deeper into Taratino's world.","Watson Design Group Inc. ","United States",8.06,"Film & TV,Mobile & Apps,Promotional,Graphic design,Copy design,HTML5,jQuery,WebGL,PHP,Three.js","Black,Orange,Silver"
"https://www.awwwards.com/sites/the-frontier-within","Month","The Frontier Within","The Frontier Within is a web experience that transforms the circulatory, respiratory, and nervous systems into an interactive portrait of the human body.","Active Theory ","United States",7.88,"Art & Illustration,Web & Interactive,Experimental,Fullscreen,Transitions,Storytelling,WebGL,GLSL","Black,Blue,Red"
"https://www.awwwards.com/sites/locomotive-1","Month","Locomotive","Locomotive has become a leader in digital experiences, web design and branding. That’s not a brag, it’s a promise: to deliver tomorrow’s creative solutions — today.","Locomotive","Canada",8.22,"Business & Corporate,Design Agencies,Web & Interactive,Animation,Parallax,Portfolio,Transitions,Gestures / Interaction,Interaction Design,CSS3,HTML5,WebGL,GSAP (Greensock),CloudFlare,PixiJS","Black,Blue,White"
"https://www.awwwards.com/sites/lusion","Month","Lusion","Lusion is a real-time, development focussed, creative studio. We collaborate with creative agencies and design studios to deliver compelling, real-time experiences.","Lusion ","United Kingdom",7.96,"Art & Illustration,Design Agencies,Web & Interactive,Animation,Portfolio,3D,WebGL,Three.js","Black,White"
"https://www.awwwards.com/sites/dogstudio-1","Month","Dogstudio","Dogstudio is a multidisciplinary creative studio at the intersection of art, design and technology.","Dogstudio ","United States",8.17,"Design Agencies,Animation,Parallax,Transitions,3D,Wordpress,WebGL,Three.js","Black,Red,White"
"https://www.awwwards.com/sites/2018-year-in-review","Month","2018: Year in Review","With the hours, days and months flying by at lightning speed, we take a moment to dive into our 2018 time capsule and reflect on the year gone by.","Green Chameleon ","United Kingdom",7.84,"Design Agencies,Web & Interactive,Experimental,Clean,Colorful,Parallax,Gallery,3D,Microinteractions,WebGL,Three.js","Blue,Green,Yellow"
